Hour,Lat,Lon
0,40.690654842,-73.908042562
13,40.818407371,-73.887507503
0,40.674993193,-73.915234704
1,40.869301715,-73.889511247
23,40.805182009,-73.9186305
9,40.660436625,-73.939773355
1,40.674063439,-73.912535702
20,40.668403867,-73.869286157
19,40.623960368,-73.938282477
1,40.64173826,-74.075678037
22,40.649091472,-73.955776823
12,40.750294976,-73.822805246
2,40.836843178,-73.850809958
23,40.65381516,-73.853205037
17,40.842328579,-73.885739479
1,40.68469984,-73.924744826
19,40.736984449,-73.809998125
7,40.738838819,-73.926700862
1,40.681803475,-73.923789039
23,40.764463103,-73.831774379
4,40.67013835,-73.908925194
4,40.67013835,-73.908925194
21,40.692389705,-73.793764553
5,40.845984791,-73.907462791
5,40.845984791,-73.907462791
2,40.870142434,-73.869305409
1,40.831578538,-73.927697229
19,40.618091468,-74.027852316
6,40.839739531,-73.913178032
0,40.695140908,-73.975125947
1,40.689111202,-73.945058895
23,40.819856355,-73.920140835
20,40.67500776,-74.006577149
12,40.672789843,-73.773651622
4,40.764694063,-73.914348014
2,40.651998977,-73.944869621
2,40.815720251,-73.864502585
0,40.682140409,-73.826891092
0,40.680536156,-73.957086365
2,40.88443116,-73.833004197
2,40.801063787,-73.950481913
14,40.682807656,-73.767816313
2,40.842271968,-73.905032007
0,40.676152237,-73.893068674
17,40.691103257,-73.912877554
16,40.814000554,-73.900780541
19,40.620759553,-74.010548599
2,40.670869804,-73.86317105
22,40.675727746,-73.921495901
21,40.66357893,-73.896646458
21,40.850660187,-73.908920209
8,40.669788059,-73.958293685
0,40.709186497,-73.819156071
23,40.81725838,-73.940404581
22,40.671025464,-73.906195082
16,40.872596004,-73.825563635
16,40.827871665,-73.864958422
18,40.860655553,-73.895006204
14,40.680494853,-73.867095611
3,40.825100443,-73.89485635
23,40.847277155,-73.910442906
22,40.666231521,-73.922538001
18,40.69969571,-73.981691569
18,40.786006915,-73.845738305
17,40.680096472,-73.912556632
6,40.886052491,-73.8614443
19,40.745435546,-73.864353209
2,40.671411663,-73.881511724
23,40.820261474,-73.897877215
22,40.816805565,-73.907261306
